"MAE","sample_idx"
2.5189947905346344e-07,977
2.3245812030836532e-07,293
2.2463500215508247e-07,799
2.23703679580467e-07,514
2.1848828168913315e-07,532
2.1781306713819504e-07,927
2.1643936065629532e-07,754
2.1420419216156006e-07,828
2.1057203980490158e-07,496
2.1047890186309814e-07,341
2.0824373336836288e-07,826
2.0824373336836288e-07,171
2.0787119581200386e-07,445
2.0642764297917893e-07,830
2.056360273172686e-07,284
2.05356627702713e-07,296
2.039596438407898e-07,328
2.038490549693961e-07,212
2.0051375315688347e-07,211
1.996755543132167e-07,9
1.969514471511502e-07,190
1.94646418094635e-07,642
1.9399449513457512e-07,805
1.9343569590546394e-07,638
1.9264408024355362e-07,13
1.912936511416774e-07,966
1.9045546650886536e-07,898
1.8998980522155762e-07,905
1.8989666727975418e-07,104
1.8980354354880546e-07,525
1.896172818760533e-07,515
1.8905848264694214e-07,137
1.8868595930143783e-07,811
1.8720166394814441e-07,715
1.8617137698129227e-07,128
1.8617137698129227e-07,88
1.8533319234848022e-07,402
1.8402934642836044e-07,237
1.83936208486557e-07,342
1.8365680887200142e-07,373
1.825392246246338e-07,722
1.8244608668283036e-07,447
1.8207356333732605e-07,519
1.8151476410821488e-07,339
1.81235378704514e-07,468
1.8095597908995842e-07,781
1.7965211895898392e-07,923
1.795589952280352e-07,444
1.7881393432617188e-07,505
1.7862767265341972e-07,960
1.7685815123513748e-07,901
1.7667188956238533e-07,366
1.762062282750776e-07,449
1.758337049295733e-07,582
1.7546116737321427e-07,172
1.751817819695134e-07,596
1.745298447985988e-07,141
1.7406418351129105e-07,679
1.7397105978034233e-07,591
1.7397105978034233e-07,874
1.735985222239833e-07,278
1.7331913682028244e-07,484
1.7248093797661568e-07,533
1.7238781424566696e-07,433
1.7210841463111137e-07,62
1.715496154020002e-07,28
1.711770920564959e-07,271
1.7043203115463257e-07,832
1.7024576948188042e-07,803
1.6931444690726494e-07,443
1.6912818523451278e-07,574
1.6912818523451278e-07,666
1.6861595497630333e-07,451
1.681968626598973e-07,418
1.6810372471809387e-07,917
1.672189711143801e-07,792
1.6707926420167496e-07,362
1.6698614047072624e-07,277
1.668930025289228e-07,987
1.668930025289228e-07,40
1.6656704815432022e-07,501
1.665204791834185e-07,420
1.6647391021251678e-07,412
1.6610138686701248e-07,266
1.6558915660880302e-07,842
1.6558915660880302e-07,787
1.6544363745651935e-07,767
1.6540289493605087e-07,537
1.6530975699424744e-07,631
1.6528647961422394e-07,736
1.6510020373061707e-07,801
1.6503035737969185e-07,850
1.6503035737969185e-07,192
1.6493723364874313e-07,579
1.6465783403418754e-07,687
1.644715723614354e-07,773
1.6391277313232422e-07,846
1.631677122304609e-07,493
1.631677122304609e-07,766
1.6298145055770874e-07,60
